dwell_time,flight_time,backspaces,incorrect_words,spelling_errors,word_order_errors,requires_assistance,typed_sentence,corrected_sentence
110,183,0,0,0,1,1,The cat in sited mat the on,The cat in sited mat the on
98,109,1,2,2,0,1,She go to schoool everdyay,She go to school every day
111,184,0,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
111,124,7,0,0,0,0,The sun rises in the east,The sun rises in the east
82,114,6,3,2,0,1,Im sory for teh mistake,I'm sorry for the mistake
150,171,8,0,0,0,0,She went to the market,She went to the market
84,121,7,1,0,0,1,We is going to market today,We are going to market today
119,104,8,2,2,0,1,She go to schoool everdyay,She go to school every day
106,143,4,2,0,0,1,Plase send the documant,Please send the document
111,155,4,2,1,0,1,Plase send the documant,Please send the document
135,137,0,1,0,0,1,We is going to market today,We are going to market today
148,193,8,2,0,0,1,He dont now the anser,He doesn't know the answer
83,95,0,2,2,0,1,She go to schoool everdyay,She go to school every day
120,141,4,1,1,0,1,We is going to market today,We are going to market today
128,150,6,2,2,0,1,I lik to eatt appls,I like to eat apples
102,91,4,1,1,0,1,We is going to market today,We are going to market today
148,113,7,0,0,0,0,The sun rises in the east,The sun rises in the east
143,91,4,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
137,154,5,2,0,0,1,She go to schoool everdyay,She go to school every day
126,172,4,0,0,0,0,The sun rises in the east,The sun rises in the east
125,90,2,0,0,0,0,They are playing football,They are playing football
85,109,8,0,0,0,0,She went to the market,She went to the market
106,173,8,1,1,2,1,We is going to market today,We are going to market today
113,163,1,0,0,2,1,The cat in sited mat the on,The cat in sited mat the on
147,104,7,3,1,0,1,Im sory for teh mistake,I'm sorry for the mistake
114,144,0,0,0,0,0,She went to the market,She went to the market
108,144,0,0,0,0,0,They are playing football,They are playing football
82,146,5,1,0,0,1,We is going to market today,We are going to market today
124,94,4,0,0,1,1,The cat in sited mat the on,The cat in sited mat the on
96,109,3,2,0,0,1,She go to schoool everdyay,She go to school every day
124,109,1,2,1,0,1,He dont now the anser,He doesn't know the answer
139,106,3,2,1,0,1,He dont now the anser,He doesn't know the answer
107,185,3,2,1,0,1,I lik to eatt appls,I like to eat apples
146,130,3,2,0,0,1,Plase send the documant,Please send the document
111,198,0,1,1,1,1,We is going to market today,We are going to market today
85,134,2,2,2,0,1,She go to schoool everdyay,She go to school every day
121,199,5,0,0,1,1,The cat in sited mat the on,The cat in sited mat the on
106,124,0,0,0,0,0,The sun rises in the east,The sun rises in the east
111,101,1,2,0,0,1,Plase send the documant,Please send the document
136,198,5,2,1,0,1,I lik to eatt appls,I like to eat apples
127,177,0,3,0,0,1,Im sory for teh mistake,I'm sorry for the mistake
130,133,8,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
119,171,1,2,0,0,1,I lik to eatt appls,I like to eat apples
121,156,3,0,0,0,0,The sun rises in the east,The sun rises in the east
132,138,1,3,3,0,1,Im sory for teh mistake,I'm sorry for the mistake
133,179,2,0,0,0,0,The sun rises in the east,The sun rises in the east
127,175,7,0,0,0,0,They are playing football,They are playing football
128,134,6,2,2,0,1,She go to schoool everdyay,She go to school every day
82,90,6,0,0,0,0,The cat in sited mat the on,The cat in sited mat the on
98,142,0,0,0,0,0,They are playing football,They are playing football
108,173,2,2,2,0,1,Plase send the documant,Please send the document
80,151,3,2,1,0,1,She go to schoool everdyay,She go to school every day
110,194,5,0,0,0,0,The sun rises in the east,The sun rises in the east
116,191,0,0,0,0,0,They are playing football,They are playing football
124,164,2,0,0,0,0,The sun rises in the east,The sun rises in the east
122,186,5,2,0,0,1,He dont now the anser,He doesn't know the answer
